Chemical,Date,Reading
AGOC-3A,2016-08-29,0.6018127308796295
AGOC-3A,2016-08-30,0.5987991920833331
AGOC-3A,2016-08-31,0.6126797419444445
AGOC-3A,2016-12-01,0.9273327716055049
AGOC-3A,2016-12-02,0.910564530714286
AGOC-3A,2016-12-03,0.7511192150925924
AGOC-3A,2016-12-04,0.7112881824074072
AGOC-3A,2016-12-05,2.002298377297297
AGOC-3A,2016-12-06,0.764692863333334
AGOC-3A,2016-12-07,0.9068520850471691
AGOC-3A,2016-12-08,1.3965768088738744
AGOC-3A,2016-12-09,1.0654441453456218
AGOC-3A,2016-12-10,0.6745658643518518
AGOC-3A,2016-12-11,1.469115898000001
AGOC-3A,2016-12-12,1.0354970333181819
AGOC-3A,2016-12-13,1.160713586513761
AGOC-3A,2016-12-14,1.4340097835585588
AGOC-3A,2016-12-15,1.0823234323181816
AGOC-3A,2016-12-16,1.0509834083410141
AGOC-3A,2016-12-17,1.1817443351363637
AGOC-3A,2016-12-18,1.6293856562612616
AGOC-3A,2016-12-19,0.8336717485714287
AGOC-3A,2016-12-20,0.7099395048148148
AGOC-3A,2016-12-21,0.9046989453211011
AGOC-3A,2016-12-22,0.924873965707762
AGOC-3A,2016-12-23,1.0029971512442397
AGOC-3A,2016-12-24,1.0348108160273977
AGOC-3A,2016-12-25,0.7104916893518523
AGOC-3A,2016-12-26,0.7311552552777781
AGOC-3A,2016-12-27,0.7722205108796301
AGOC-3A,2016-12-28,0.6856325532407406
AGOC-3A,2016-12-29,0.7020984904629629
AGOC-3A,2016-12-30,0.6834991356481486
AGOC-3A,2016-12-31,0.7524258096759261
Appluimonia,2016-04-01,0.438928695462963
Appluimonia,2016-04-02,0.43174734888888894
Appluimonia,2016-04-03,0.4507844480555552
Appluimonia,2016-04-04,0.472068298425926
Appluimonia,2016-04-05,0.47377452708333306
Appluimonia,2016-04-06,0.4651867457487924
Appluimonia,2016-04-07,0.5738445158333333
Appluimonia,2016-04-08,0.3817674890740741
Appluimonia,2016-04-09,0.42622543120370326
Appluimonia,2016-04-10,0.43719105773148176
Appluimonia,2016-04-11,0.46101317143518467
Appluimonia,2016-04-12,0.4669824986111114
Appluimonia,2016-04-13,0.43144807532407364
Appluimonia,2016-04-14,0.41815938703703676
Appluimonia,2016-04-15,0.4801733975462961
Appluimonia,2016-04-16,0.5144069294444443
Appluimonia,2016-04-17,0.562742514537037
Appluimonia,2016-04-18,0.45305787449074064
Appluimonia,2016-04-19,0.4433635011111112
Appluimonia,2016-04-20,0.4959642287037037
Appluimonia,2016-04-21,0.4857625455092593
Appluimonia,2016-04-22,0.5262315191666666
Appluimonia,2016-04-23,0.4644342056018517
Appluimonia,2016-04-24,0.4515056332407409
Appluimonia,2016-04-25,0.4492638107407409
Appluimonia,2016-04-26,0.4920661134722221
Appluimonia,2016-04-27,0.46894434550925923
Appluimonia,2016-04-28,0.38762940986111116
Appluimonia,2016-04-29,0.486030095601852
Appluimonia,2016-04-30,0.4413245389814815
Appluimonia,2016-08-01,0.6272665212500002
Appluimonia,2016-08-02,0.6568757238164248
Appluimonia,2016-08-03,0.6369850023611113
Appluimonia,2016-08-04,0.5553250822222227
Appluimonia,2016-08-05,0.6023780018518515
Appluimonia,2016-08-06,0.5561914316203702
Appluimonia,2016-08-07,0.5778271788405799
Appluimonia,2016-08-08,0.5594929648148146
Appluimonia,2016-08-09,0.5621836766203705
Appluimonia,2016-08-10,0.6260616782407405
Appluimonia,2016-08-11,0.5681837105555556
Appluimonia,2016-08-12,0.6000942993055558
Appluimonia,2016-08-13,0.7187280918981479
Appluimonia,2016-08-14,0.5932128046296293
Appluimonia,2016-08-15,0.554749755925926
Appluimonia,2016-08-16,0.5927637304166665
Appluimonia,2016-08-17,0.5882323760185183
Appluimonia,2016-08-18,0.5451979562500001
Appluimonia,2016-08-19,0.5841266808333331
Appluimonia,2016-08-20,0.6213116325925928
Appluimonia,2016-08-21,0.6177132238888889
Appluimonia,2016-08-22,0.5560314736111112
Appluimonia,2016-08-23,0.5801573771296293
Appluimonia,2016-08-24,0.5569212821296294
Appluimonia,2016-08-25,0.5672968391666665
Appluimonia,2016-08-26,0.6291457682870373
Appluimonia,2016-08-27,0.6393583252314814
Appluimonia,2016-08-28,0.6287537023611109
Appluimonia,2016-08-29,0.6006428194444444
Appluimonia,2016-08-30,0.5483603994907407
Appluimonia,2016-08-31,0.6126987072685182
Appluimonia,2016-12-01,0.6961848418055552
Appluimonia,2016-12-02,0.6678222467149757
Appluimonia,2016-12-03,0.664012812175926
Appluimonia,2016-12-04,0.7066464293055558
Appluimonia,2016-12-05,0.825812398657407
Appluimonia,2016-12-06,0.708120888888889
Appluimonia,2016-12-07,0.8013618821153844
Appluimonia,2016-12-08,0.7261077603240739
Appluimonia,2016-12-09,0.7426426188888889
Appluimonia,2016-12-10,0.6918895799537035
Appluimonia,2016-12-11,0.7433097542592596
Appluimonia,2016-12-12,0.7690238409722225
Appluimonia,2016-12-13,0.7162603043518517
Appluimonia,2016-12-14,0.737608906851852
Appluimonia,2016-12-15,0.7093744313425927
Appluimonia,2016-12-16,0.7404194042592585
Appluimonia,2016-12-17,0.7314556497685182
Appluimonia,2016-12-18,0.859495733611111
Appluimonia,2016-12-19,0.6790240149537031
Appluimonia,2016-12-20,0.6996846444444452
Appluimonia,2016-12-21,0.7221237037962963
Appluimonia,2016-12-22,0.7124071964351849
Appluimonia,2016-12-23,0.7122578864351852
Appluimonia,2016-12-24,0.7375021008796294
Appluimonia,2016-12-25,0.7034717298611116
Appluimonia,2016-12-26,0.7610314083333329
Appluimonia,2016-12-27,0.7478301156481487
Appluimonia,2016-12-28,0.7497265213888886
Appluimonia,2016-12-29,0.7845446112962962
Appluimonia,2016-12-30,0.7274818677777776
Appluimonia,2016-12-31,0.7602865089814815
Chlorodinine,2016-04-01,0.4805531597222223
Chlorodinine,2016-04-02,0.4623043768115942
Chlorodinine,2016-04-03,0.5861980264814812
Chlorodinine,2016-04-04,0.8363176760648147
Chlorodinine,2016-04-05,0.4328029089814813
Chlorodinine,2016-04-06,0.4632875272946858
Chlorodinine,2016-04-07,0.5430796196296297
Chlorodinine,2016-04-08,0.516346732777778
Chlorodinine,2016-04-09,0.5248986181944448
Chlorodinine,2016-04-10,0.48497983680555584
Chlorodinine,2016-04-11,0.4713545286111111
Chlorodinine,2016-04-12,0.4814877085185184
Chlorodinine,2016-04-13,0.4348134085185184
Chlorodinine,2016-04-14,0.5216336226851852
Chlorodinine,2016-04-15,0.5093506212962965
Chlorodinine,2016-04-16,0.4987586080092591
Chlorodinine,2016-04-17,0.48065019546296306
Chlorodinine,2016-04-18,0.46254968351851855
Chlorodinine,2016-04-19,0.510810764537037
Chlorodinine,2016-04-20,0.4804957083796299
Chlorodinine,2016-04-21,0.5592541865740737
Chlorodinine,2016-04-22,0.5410244750462965
Chlorodinine,2016-04-23,0.41647069486111116
Chlorodinine,2016-04-24,0.45473075833333365
Chlorodinine,2016-04-25,0.586572696712963
Chlorodinine,2016-04-26,0.6068330793518518
Chlorodinine,2016-04-27,0.6086118389814813
Chlorodinine,2016-04-28,0.4924941586574075
Chlorodinine,2016-04-29,0.5076889341203703
Chlorodinine,2016-04-30,0.5301156823611112
Chlorodinine,2016-08-01,0.5803791337962965
Chlorodinine,2016-08-02,0.7302038410628018
Chlorodinine,2016-08-03,0.683245944861111
Chlorodinine,2016-08-04,0.5649711751207731
Chlorodinine,2016-08-05,0.5603647851851851
Chlorodinine,2016-08-06,0.6128567662037038
Chlorodinine,2016-08-07,0.5934688058454105
Chlorodinine,2016-08-08,0.7175420832407411
Chlorodinine,2016-08-09,0.5941170420833332
Chlorodinine,2016-08-10,0.6400614900462964
Chlorodinine,2016-08-11,0.6203755027314819
Chlorodinine,2016-08-12,0.7451022686574078
Chlorodinine,2016-08-13,0.6158984267592593
Chlorodinine,2016-08-14,0.581529153611111
Chlorodinine,2016-08-15,0.6180542718518517
Chlorodinine,2016-08-16,0.6516096036574069
Chlorodinine,2016-08-17,0.6126146985648148
Chlorodinine,2016-08-18,0.6382817664814816
Chlorodinine,2016-08-19,0.5403292400925922
Chlorodinine,2016-08-20,0.6248340693055551
Chlorodinine,2016-08-21,0.6248512550925923
Chlorodinine,2016-08-22,0.6407116282870371
Chlorodinine,2016-08-23,0.6132547075
Chlorodinine,2016-08-24,0.7195033146296294
Chlorodinine,2016-08-25,0.6350812974537036
Chlorodinine,2016-08-26,0.7170082440740744
Chlorodinine,2016-08-27,0.6661383928703706
Chlorodinine,2016-08-28,0.5948635950925923
Chlorodinine,2016-08-29,0.650621944259259
Chlorodinine,2016-08-30,0.5408478943055557
Chlorodinine,2016-08-31,0.6016031194444443
Chlorodinine,2016-12-01,0.7594312981481481
Chlorodinine,2016-12-02,0.7430397537198065
Chlorodinine,2016-12-03,0.7635972748148142
Chlorodinine,2016-12-04,0.7231274076851845
Chlorodinine,2016-12-05,0.9139841511574077
Chlorodinine,2016-12-06,0.7749296510185184
Chlorodinine,2016-12-07,0.73457368415459
Chlorodinine,2016-12-08,0.7460147752314819
Chlorodinine,2016-12-09,0.7649014217129628
Chlorodinine,2016-12-10,0.7521760475000001
Chlorodinine,2016-12-11,0.880269035555555
Chlorodinine,2016-12-12,0.8176560395833332
Chlorodinine,2016-12-13,0.8444698787962963
Chlorodinine,2016-12-14,0.7453485428240738
Chlorodinine,2016-12-15,0.7057912321296298
Chlorodinine,2016-12-16,0.7686046020833329
Chlorodinine,2016-12-17,0.8037695039351852
Chlorodinine,2016-12-18,0.8813010664351851
Chlorodinine,2016-12-19,0.8640852563425926
Chlorodinine,2016-12-20,0.6963617953703702
Chlorodinine,2016-12-21,0.8226572739814818
Chlorodinine,2016-12-22,0.7791732830092593
Chlorodinine,2016-12-23,0.93109924537037
Chlorodinine,2016-12-24,0.7745549113888887
Chlorodinine,2016-12-25,0.7290423655092594
Chlorodinine,2016-12-26,0.8007144305555557
Chlorodinine,2016-12-27,0.775768699675926
Chlorodinine,2016-12-28,0.7522525020370371
Chlorodinine,2016-12-29,0.747728474675926
Chlorodinine,2016-12-30,0.6726692110185184
Chlorodinine,2016-12-31,0.7567350824537042
Methylosmolene,2016-04-01,0.4599337864018691
Methylosmolene,2016-04-02,1.304392890147784
Methylosmolene,2016-04-03,0.6910595593055554
Methylosmolene,2016-04-04,0.41488109694444447
Methylosmolene,2016-04-05,0.49510625916666673
Methylosmolene,2016-04-06,0.4395142587192121
Methylosmolene,2016-04-07,0.8450294213488382
Methylosmolene,2016-04-08,0.5684019759241703
Methylosmolene,2016-04-09,0.9338157683796295
Methylosmolene,2016-04-10,0.4653175765277777
Methylosmolene,2016-04-11,0.7469255245833324
Methylosmolene,2016-04-12,0.49067609518867894
Methylosmolene,2016-04-13,0.44365356597222244
Methylosmolene,2016-04-14,0.678772003162791
Methylosmolene,2016-04-15,0.9475350391904759
Methylosmolene,2016-04-16,0.49943686726415104
Methylosmolene,2016-04-17,0.658589920235849
Methylosmolene,2016-04-18,0.4862071608796295
Methylosmolene,2016-04-19,0.8201901569158877
Methylosmolene,2016-04-20,0.4420490430555556
Methylosmolene,2016-04-21,0.6330295498095236
Methylosmolene,2016-04-22,0.5720186266507178
Methylosmolene,2016-04-23,0.507285139814815
Methylosmolene,2016-04-24,0.4349161318518522
Methylosmolene,2016-04-25,1.0149696779534885
Methylosmolene,2016-04-26,0.4458097796296294
Methylosmolene,2016-04-27,0.46121159574074067
Methylosmolene,2016-04-28,0.46877782407407403
Methylosmolene,2016-04-29,0.5165261473611109
Methylosmolene,2016-04-30,0.48275325106481465
Methylosmolene,2016-08-01,1.0337917800961536
Methylosmolene,2016-08-02,1.0285181226699025
Methylosmolene,2016-08-03,0.6605010055607476
Methylosmolene,2016-08-04,0.5274294908737864
Methylosmolene,2016-08-05,0.6870157056744183
Methylosmolene,2016-08-06,0.568331967630332
Methylosmolene,2016-08-07,0.5580568358454109
Methylosmolene,2016-08-08,0.5644723052380954
Methylosmolene,2016-08-09,0.5818659298130844
Methylosmolene,2016-08-10,1.0007390307075466
Methylosmolene,2016-08-11,0.5827840902870813
Methylosmolene,2016-08-12,0.6280128851184833
Methylosmolene,2016-08-13,0.6875840854368931
Methylosmolene,2016-08-14,0.6701465294736842
Methylosmolene,2016-08-15,0.562250865277778
Methylosmolene,2016-08-16,0.9884729650000004
Methylosmolene,2016-08-17,0.5949622532394367
Methylosmolene,2016-08-18,0.6886328635406695
Methylosmolene,2016-08-19,0.5871479175925924
Methylosmolene,2016-08-20,0.7769732810377356
Methylosmolene,2016-08-21,0.5272994000956936
Methylosmolene,2016-08-22,0.5486828216355142
Methylosmolene,2016-08-23,0.6400237505607476
Methylosmolene,2016-08-24,0.67587710971564
Methylosmolene,2016-08-25,0.6437843405633799
Methylosmolene,2016-08-26,0.6037522807407408
Methylosmolene,2016-08-27,0.6149239097222223
Methylosmolene,2016-08-28,0.6251377570833333
Methylosmolene,2016-08-29,0.6117636163888892
Methylosmolene,2016-08-30,0.5672075481481479
Methylosmolene,2016-08-31,0.6297978191666667
Methylosmolene,2016-12-01,0.7132252935981307
Methylosmolene,2016-12-02,2.0921618518137244
Methylosmolene,2016-12-03,0.7001100662037039
Methylosmolene,2016-12-04,0.7079728396296298
Methylosmolene,2016-12-05,0.9886730707619047
Methylosmolene,2016-12-06,1.0616953337499997
Methylosmolene,2016-12-07,1.0703597954854371
Methylosmolene,2016-12-08,1.2764388252857142
Methylosmolene,2016-12-09,0.7429263758604648
Methylosmolene,2016-12-10,0.7369004512500004
Methylosmolene,2016-12-11,1.2378214975362316
Methylosmolene,2016-12-12,1.186399664198113
Methylosmolene,2016-12-13,0.9094067328504679
Methylosmolene,2016-12-14,0.7709183156190477
Methylosmolene,2016-12-15,0.7846866799528301
Methylosmolene,2016-12-16,0.7300148932558141
Methylosmolene,2016-12-17,0.8700555675000001
Methylosmolene,2016-12-18,0.7849411980952372
Methylosmolene,2016-12-19,0.8174990155813956
Methylosmolene,2016-12-20,0.8299083740277781
Methylosmolene,2016-12-21,0.7700465228971963
Methylosmolene,2016-12-22,0.9063764358215962
Methylosmolene,2016-12-23,0.7501834910697672
Methylosmolene,2016-12-24,0.9144404174647888
Methylosmolene,2016-12-25,0.7049323378240743
Methylosmolene,2016-12-26,0.7330344709722221
Methylosmolene,2016-12-27,0.6943706862500003
Methylosmolene,2016-12-28,0.7290818416666667
Methylosmolene,2016-12-29,0.6717010598611116
Methylosmolene,2016-12-30,0.7474079581944447
Methylosmolene,2016-12-31,0.6759257786574073
